policy,stage,model,usage_count,usage_share
A2 K=5 B=0.000840251 Emax=0.75,stage1,MiniCPM4.1-8B,106.0,0.44166666666666665
A2 K=5 B=0.000840251 Emax=0.75,expected_stage2,MiniCPM4.1-8B,56.0,0.23333333333333334
A2 K=5 B=0.000840251 Emax=0.75,expected_stage2,deepseek-v3-0324,4.0,0.016666666666666666
A2 K=5 B=0.000840251 Emax=0.5,stage1,GLM-Z1-9B-0414,156.0,0.65
A2 K=5 B=0.000840251 Emax=0.5,stage1,MiniCPM4.1-8B,73.0,0.30416666666666664
A2 K=5 B=0.000840251 Emax=0.5,stage1,qwen3-235b-a22b-2507,11.0,0.04583333333333333
A2 K=5 B=0.000840251 Emax=0.5,expected_stage2,MiniCPM4.1-8B,31.0,0.12916666666666668
A2 K=5 B=0.000840251 Emax=0.5,expected_stage2,deepseek-v3-0324,18.0,0.075
A2 K=5 B=0.000840251 Emax=0.5,expected_stage2,gpt-5,1.0,0.004166666666666667
A2 K=5 B=0.00126038 Emax=1,stage1,GLM-Z1-9B-0414,129.0,0.5375
A2 K=5 B=0.00126038 Emax=1,stage1,MiniCPM4.1-8B,65.0,0.2708333333333333
A2 K=5 B=0.00126038 Emax=1,stage1,Qwen2.5-Coder-7B-Instruct,46.0,0.19166666666666668
A2 K=5 B=0.00126038 Emax=1,expected_stage2,MiniCPM4.1-8B,50.0,0.20833333333333334
A2 K=5 B=0.00126038 Emax=1,expected_stage2,deepseek-v3-0324,3.0,0.0125
A2 K=5 B=0.00126038 Emax=0.75,stage1,GLM-Z1-9B-0414,129.0,0.5375
A2 K=5 B=0.00126038 Emax=0.75,stage1,MiniCPM4.1-8B,68.0,0.2833333333333333
A2 K=5 B=0.00126038 Emax=0.75,stage1,Qwen2.5-Coder-7B-Instruct,43.0,0.17916666666666667
A2 K=5 B=0.00126038 Emax=0.75,expected_stage2,MiniCPM4.1-8B,50.0,0.20833333333333334
A2 K=5 B=0.00126038 Emax=0.75,expected_stage2,deepseek-v3-0324,3.0,0.0125
A2 K=5 B=0.00126038 Emax=0.5,stage1,GLM-Z1-9B-0414,114.0,0.475
A2 K=5 B=0.00126038 Emax=0.5,stage1,MiniCPM4.1-8B,86.0,0.35833333333333334
A2 K=5 B=0.00126038 Emax=0.5,stage1,Qwen2.5-Coder-7B-Instruct,40.0,0.16666666666666666
A2 K=5 B=0.00126038 Emax=0.5,expected_stage2,MiniCPM4.1-8B,48.0,0.2
A2 K=5 B=0.00126038 Emax=0.5,expected_stage2,deepseek-v3-0324,3.0,0.0125
A3 K=5 B=0.00126038 Emax=0.75,stage1,GLM-Z1-9B-0414,143.0,0.5958333333333333
A3 K=5 B=0.00126038 Emax=0.75,stage1,MiniCPM4.1-8B,97.0,0.4041666666666667
A3 K=5 B=0.00126038 Emax=0.75,expected_stage2,MiniCPM4.1-8B,57.0,0.2375
A3 K=5 B=0.00126038 Emax=0.75,expected_stage2,deepseek-v3-0324,3.0,0.0125
